generator losses,discriminator losses
-7.807300090789795,-1.5781378746032715
-6.472231864929199,-2.8840272426605225
-4.240601539611816,-1.5116440057754517
-7.206055641174316,-0.9237359762191772
-6.603145599365234,-1.3271141052246094
-6.088474750518799,-1.995922327041626
-5.751436233520508,-1.103243112564087
-6.670388221740723,-2.1572225093841553
-5.815072059631348,0.07555609941482544
-4.428650856018066,-1.0022799968719482
-5.155506134033203,-1.1752023696899414
-4.03119421005249,-0.6208151578903198
-6.403172969818115,-2.209134101867676
-4.447953701019287,-0.8737255334854126
-6.177007675170898,-1.3356657028198242
-5.722480773925781,-1.8011666536331177
-5.788043022155762,-1.9703917503356934
-6.962053298950195,-0.3970075845718384
-5.2208356857299805,0.02962702512741089
-7.36338472366333,-0.5112094879150391
-5.762984275817871,-1.301185131072998
-7.288156032562256,-2.3145854473114014
-5.209251880645752,-0.6834309697151184
-7.323394775390625,-1.6673896312713623
-6.09789514541626,-0.1173640787601471
-6.145910263061523,-2.4585952758789062
-6.303813934326172,-1.226365089416504
-5.379364013671875,-0.0688716247677803
-5.208524703979492,-1.7168376445770264
-5.845254898071289,-1.0279945135116577
-5.4083757400512695,-1.0277522802352905
-6.7035980224609375,-0.5344953536987305
-5.56629753112793,-0.45348304510116577
-7.223204612731934,-0.818645715713501
-6.312009811401367,-0.18290972709655762
-6.743048667907715,-1.2183090448379517
-5.445728302001953,0.2800385355949402
-6.350005149841309,0.05661822855472565
-5.823886871337891,-0.5205138921737671
-6.495311737060547,-1.5806605815887451
-5.875310897827148,1.0581698417663574
-7.762210845947266,0.51589035987854
-5.958168983459473,-0.7606832981109619
-6.0987772941589355,-2.2777154445648193
-6.217436790466309,-1.3295100927352905
-5.715502738952637,-0.9760532379150391
-7.1141791343688965,-1.2271232604980469
-5.841703414916992,-0.47550639510154724
-8.243404388427734,-1.6836259365081787
-5.760734558105469,-0.07804164290428162
-9.561522483825684,-1.9678446054458618
-6.557120323181152,-2.0988385677337646
-8.77823257446289,-1.5023164749145508
-5.7532196044921875,-2.7667441368103027
-7.81744384765625,-0.7793774604797363
-7.734401702880859,-2.856322765350342
-8.339868545532227,-0.9611882567405701
-8.254205703735352,-1.5198967456817627
-6.465131759643555,-2.1992881298065186
-8.596992492675781,-2.2641499042510986
-3.69985032081604,-0.057964175939559937
-10.664115905761719,-0.20378275215625763
-3.9319145679473877,0.043824464082717896
-9.413228988647461,-1.7595661878585815
-4.756396293640137,-0.3748072683811188
-8.181661605834961,-0.3547435402870178
-8.178986549377441,0.32587960362434387
-4.844418525695801,-0.842323362827301
-10.767630577087402,1.2827091217041016
-1.5214354991912842,-2.564958095550537
-10.286288261413574,-1.066489577293396
-10.022199630737305,-3.076512098312378
-5.826051712036133,-2.7549171447753906
